CLASE DE ACCIDENTE,GRAVEDAD,VIAS,CORREGIMIENTO,DÍA SEMANA,FECHA DE OCURRECIA,HORA OCURRENCIA
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-01-01,1:40:00 AM
CHOQUE,MUERTOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-01-01,3:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-01-03,5:08:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-01-03,12:45:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,DOMINGO,2021-01-03,7:00:00 AM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL LAURO,LUNES,2021-01-04,11:20:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,LA REGINA,MARTES,2021-01-05,8:10:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,MIERCOLES,2021-01-06,2:50:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,JUEVES,2021-01-07,3:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-01-07,3:50:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,LA REGINA,JUEVES,2021-01-07,7:00:00 PM
OTRO,HERIDOS,PALMIRA-VILLA RICA,EL CABUYAL,VIERNES,2021-01-08,3:00:00 PM
VOLCAMIENTO,DAÑOS,PALMIRA-VILLA RICA,CANDELARIA,LUNES,2021-01-11,12:30:00 PM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL LAURO,MIERCOLES,2021-01-13,5:30:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,JUEVES,2021-01-14,12:50:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-01-15,1:45:00 AM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,SABADO,2021-01-16,1:30:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-01-16,1:13:00 PM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,TURIN,SABADO,2021-01-16,4:20:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,SABADO,2021-01-16,5:50:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2021-01-18,1:10:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-01-19,8:00:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,MARTES,2021-01-19,11:15:00 AM
CHOQUE,HERIDOS,PALMIRA-VILLA RICA,EL LAURO,MARTES,2021-01-19,10:20:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-01-20,6:15:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-01-20,5:30:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,MIERCOLES,2021-01-20,1:30:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,DOMINGO LARGO,JUEVES,2021-01-21,6:00:00 PM
VOLCAMIENTO,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,SABADO,2021-01-23,6:32:00 AM
CHOQUE,DAÑOS,CALI-FLORIDA,LA REGINA,DOMINGO,2021-01-24,12:04:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-01-24,1:50:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,DOMINGO LARGO,DOMINGO,2021-01-24,2:30:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-01-25,8:15:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-01-26,6:00:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MARTES,2021-01-26,5:30:28 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,MARTES,2021-01-26,4:40:00 PM
CHOQUE,HERIDOS,CANDELARIA,EL CABUYAL,VIERNES,2021-01-29,6:10:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,SABADO,2021-01-30,9:10:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-01-30,1:30:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-01-31,2:00:00 PM
CHOQUE,HERIDOS,CALI-FLORIDA,CANDELARIA,LUNES,2021-02-01,8:25:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2021-02-02,10:20:00 AM
CHOQUE,HERIDOS,CALI-FLORIDA,JUANCHITO,MARTES,2021-02-02,6:30:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,MIERCOLES,2021-02-03,7:00:00 AM
OTRO,MUERTOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MIERCOLES,2021-02-03,3:30:00 PM
